"freq,nrg_bal,siec,unit,geo\TIME_PERIOD"	2021	2022	2023	2024
"A,DL,C0360,TJ_GCV,CZ"	0	0	0	0
"A,DL,C0360,TJ_GCV,DE"	0	0	0	0
"A,DL,C0360,TJ_GCV,DK"	0	0	0	0
"A,DL,C0360,TJ_GCV,EA20"	0	0	0	0
"A,DL,C0360,TJ_GCV,EA21"	0	0	0	0
"A,DL,C0360,TJ_GCV,EE"	0	0	0	0
"A,DL,C0360,TJ_GCV,EL"	0	0	0	0
"A,DL,C0360,TJ_GCV,ES"	0	0	0	0
"A,DL,C0360,TJ_GCV,EU27_2020"	0	0	0	0
"A,DL,C0360,TJ_GCV,FI"	0	0	0	0
"A,DL,C0360,TJ_GCV,FR"	0	0	0	0
"A,DL,C0360,TJ_GCV,GE"	0	0	0	0
"A,DL,C0360,TJ_GCV,HR"	0	0	0	0
"A,DL,C0360,TJ_GCV,HU"	0	0	0	0
"A,DL,C0360,TJ_GCV,IE"	0	0	0	0
"A,DL,C0360,TJ_GCV,IS"	0	0	0	0
"A,DL,C0360,TJ_GCV,IT"	0	0	0	0
"A,DL,C0360,TJ_GCV,LI"	0	0	0	0
"A,DL,C0360,TJ_GCV,LT"	0	0	0	0
"A,DL,C0360,TJ_GCV,LU"	0	0	0	0
"A,DL,C0360,TJ_GCV,LV"	0	0	0	0
"A,DL,C0360,TJ_GCV,MD"	0	0	0	0
"A,DL,C0360,TJ_GCV,ME"	0	0	0	0
"A,DL,C0360,TJ_GCV,MK"	0	0	0	0
"A,DL,C0360,TJ_GCV,MT"	0	0	0	0
"A,DL,C0360,TJ_GCV,NL"	0	0	0	0
"A,DL,C0360,TJ_GCV,NO"	0	0	0	0
"A,DL,C0360,TJ_GCV,PL"	0	0	0	0
"A,DL,C0360,TJ_GCV,PT"	0	0	0	0
"A,DL,C0360,TJ_GCV,RO"	0	0	0	0
"A,DL,C0360,TJ_GCV,RS"	0	0	0	0
"A,DL,C0360,TJ_GCV,SE"	0	0	0	0
"A,DL,C0360,TJ_GCV,SI"	0	0	0	0
"A,DL,C0360,TJ_GCV,SK"	0	0	0	0
"A,DL,C0360,TJ_GCV,TR"	0	0	0	0
"A,DL,C0360,TJ_GCV,UA"	: 	: 	: 	: 
"A,DL,C0360,TJ_GCV,UK"	: 	: 	: 	: 
"A,DL,C0360,TJ_GCV,XK"	0	0	0	0
"A,DL,C0371,TJ_GCV,AL"	0	0	0	0
"A,DL,C0371,TJ_GCV,AT"	535.306	414.24	209.497	337.25
"A,DL,C0371,TJ_GCV,BA"	0	369	0	: 
"A,DL,C0371,TJ_GCV,BE"	0	0	0	0
"A,DL,C0371,TJ_GCV,BG"	0	0	0	0
"A,DL,C0371,TJ_GCV,CY"	0	0	0	0
"A,DL,C0371,TJ_GCV,CZ"	1067.995	964.147	517.157	352.937
"A,DL,C0371,TJ_GCV,DE"	10714.557	8524.893	4904.157	17354.168
"A,DL,C0371,TJ_GCV,DK"	0	0	0	0
"A,DL,C0371,TJ_GCV,EA20"	13414.863	10397.133	7040.654	19643.418
"A,DL,C0371,TJ_GCV,EA21"	13414.863	10397.133	7040.654	19643.418
"A,DL,C0371,TJ_GCV,EE"	0	0	0	0
"A,DL,C0371,TJ_GCV,EL"	0	0	0	0
"A,DL,C0371,TJ_GCV,ES"	618	0	0	0
"A,DL,C0371,TJ_GCV,EU27_2020"	16330.797	13113.342	8771.354	21845.369
"A,DL,C0371,TJ_GCV,FI"	154	205	140	604
"A,DL,C0371,TJ_GCV,FR"	0	0	0	0
"A,DL,C0371,TJ_GCV,GE"	0	0	0	0
"A,DL,C0371,TJ_GCV,HR"	0	0	0	0
"A,DL,C0371,TJ_GCV,HU"	289	144	33	0
"A,DL,C0371,TJ_GCV,IE"	0	0	0	0
"A,DL,C0371,TJ_GCV,IS"	0	0	0	0
"A,DL,C0371,TJ_GCV,IT"	0	0	0	0
"A,DL,C0371,TJ_GCV,LI"	0	0	0	0
"A,DL,C0371,TJ_GCV,LT"	0	0	0	0
"A,DL,C0371,TJ_GCV,LU"	0	0	0	0
"A,DL,C0371,TJ_GCV,LV"	0	0	0	0
"A,DL,C0371,TJ_GCV,MD"	0	0	0	0
"A,DL,C0371,TJ_GCV,ME"	0	0	0	0
"A,DL,C0371,TJ_GCV,MK"	0	0	0	0
"A,DL,C0371,TJ_GCV,MT"	0	0	0	0
"A,DL,C0371,TJ_GCV,NL"	0	0	0	0
"A,DL,C0371,TJ_GCV,NO"	106.088	102.96	50	52.997
"A,DL,C0371,TJ_GCV,PL"	0	0	0	0
"A,DL,C0371,TJ_GCV,PT"	0	0	0	0
"A,DL,C0371,TJ_GCV,RO"	709.939	346.062	181.543	116.583
"A,DL,C0371,TJ_GCV,RS"	1013.837	295.59	73.356	10.593
"A,DL,C0371,TJ_GCV,SE"	849	1262	999	1732.431
"A,DL,C0371,TJ_GCV,SI"	0	0	0	0
"A,DL,C0371,TJ_GCV,SK"	1393	1253	1787	1348
"A,DL,C0371,TJ_GCV,TR"	0	0	0	0
"A,DL,C0371,TJ_GCV,UA"	: 	: 	: 	: 
"A,DL,C0371,TJ_GCV,UK"	: 	: 	: 	: 
"A,DL,C0371,TJ_GCV,XK"	0	0	0	0
"A,DL,C0379,TJ_GCV,AL"	0	0	0	0
"A,DL,C0379,TJ_GCV,AT"	51.172	43.6	189.459	32.255
"A,DL,C0379,TJ_GCV,BA"	0	0	0	: 
"A,DL,C0379,TJ_GCV,BE"	0	0	0	0
"A,DL,C0379,TJ_GCV,BG"	0	0	0	0
"A,DL,C0379,TJ_GCV,CY"	0	0	0	0
"A,DL,C0379,TJ_GCV,CZ"	44.29	68.581	117.204	256.344
"A,DL,C0379,TJ_GCV,DE"	5056.986	3250.002	3873.092	3838.626
"A,DL,C0379,TJ_GCV,DK"	0	0	0	0
"A,DL,C0379,TJ_GCV,EA20"	6022.158	3811.602	4894.551	4581.881
"A,DL,C0379,TJ_GCV,EA21"	6022.158	3811.602	4894.551	4581.881
"A,DL,C0379,TJ_GCV,EE"	0	0	0	0
"A,DL,C0379,TJ_GCV,EL"	0	0	0	0
"A,DL,C0379,TJ_GCV,ES"	0	0	0	0
"A,DL,C0379,TJ_GCV,EU27_2020"	6066.448	3880.183	5011.755	4838.225
"A,DL,C0379,TJ_GCV,FI"	189	106	297	183
"A,DL,C0379,TJ_GCV,FR"	0	0	0	0
"A,DL,C0379,TJ_GCV,GE"	0	0	0	0
"A,DL,C0379,TJ_GCV,HR"	0	0	0	0
"A,DL,C0379,TJ_GCV,HU"	0	0	0	0
"A,DL,C0379,TJ_GCV,IE"	0	0	0	0
"A,DL,C0379,TJ_GCV,IS"	0	0	0	0
"A,DL,C0379,TJ_GCV,IT"	0	0	0	0
"A,DL,C0379,TJ_GCV,LI"	0	0	0	0
"A,DL,C0379,TJ_GCV,LT"	0	0	0	0
