"freq,stk_flow,siec,unit,geo\TIME_PERIOD"	2022	2023	2024
"A,STKCL_CG,G3000,MIO_M3,BE"	675	675	675
"A,STKCL_CG,G3000,MIO_M3,BG"	737.205	737.205	737.205
"A,STKCL_CG,G3000,MIO_M3,CY"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,CZ"	1260.441	1524.5	1524.5
"A,STKCL_CG,G3000,MIO_M3,DE"	14052	14052	14052
"A,STKCL_CG,G3000,MIO_M3,DK"	1400.343	1375.999	1326.408
"A,STKCL_CG,G3000,MIO_M3,EA20"	61241.63	61241.63	61241.63
"A,STKCL_CG,G3000,MIO_M3,EA21"	61978.835	61978.835	61978.835
"A,STKCL_CG,G3000,MIO_M3,EE"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,EL"	0	0	: 
"A,STKCL_CG,G3000,MIO_M3,ES"	3398	3398	3398
"A,STKCL_CG,G3000,MIO_M3,EU27_2020"	78605.326	78849.619	78798.922
"A,STKCL_CG,G3000,MIO_M3,FI"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,FR"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,GE"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,HR"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,HU"	5930	5935	5934
"A,STKCL_CG,G3000,MIO_M3,IE"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,IS"	: 	0	: 
"A,STKCL_CG,G3000,MIO_M3,IT"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,LI"	0	0	: 
"A,STKCL_CG,G3000,MIO_M3,LT"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,LU"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,LV"	2.148	2.148	2.148
"A,STKCL_CG,G3000,MIO_M3,MD"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,ME"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,MK"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,MT"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,NL"	42835.982	42835.982	42835.982
"A,STKCL_CG,G3000,MIO_M3,NO"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,PL"	8035.707	8035.285	8035.179
"A,STKCL_CG,G3000,MIO_M3,PT"	278.5	278.5	278.5
"A,STKCL_CG,G3000,MIO_M3,RO"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,RS"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,SE"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,SI"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,SK"	0	0	0
"A,STKCL_CG,G3000,MIO_M3,TR"	3430	3430	3430
"A,STKCL_CG,G3000,MIO_M3,UA"	0	: 	: 
"A,STKCL_CG,G3000,MIO_M3,UK"	: 	: 	: 
"A,STKCL_CG,G3000,MIO_M3,XK"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,AL"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,AT"	0	0	0
"A,STKCL_CG,G3000,TJ_GCV,BA"	0	0	: 
"A,STKCL_CG,G3000,TJ_GCV,BE"	26796	26796	26796
