Source,Target,Value_tC,Carrier_detail,Carrier,Flow,flow_type,policy_cov,policy_type,policy_name
Imports,Product input,38403486.96,Products mainly from biomass,Products from biomass,Biogenic,Inflow,yes,regulation,Ecodesign
Biomass inflow,Exports,32497269.24,Crops,Crops,Biogenic,Inflow,yes,regulation & subsidy,"CAP, IED"
Biomass inflow,Exports,16310203.5,Wood,Wood,Biogenic,Outflow,yes,regulation,EU-Deforestation
Biomass inflow,Exports,227941.83,Fishery,Animal Products,Biogenic,Outflow,no,,
Biomass inflow,Exports,1997383.59,Live animals and animal products,Animal Products,Biogenic,Outflow,no,,
Product input,Exports,44428139.18,Products mainly from biomass,Products from biomass,Biogenic,Outflow,yes,regulation,Ecodesign
Biomass inflow,Food and feed,3692594.2,Feed - Live animals and animal products,Animal Products,Biogenic,Outflow,yes,regulation,IED
Biomass inflow,Food and feed,68405174,Feed - Crops,Crops,Biogenic,Outflow,no,,
Biomass inflow,Food and feed,369630,Feed - Products mainly from biomass,Products from biomass,Biogenic,Outflow,no,,
Biomass inflow,Food and feed,191360,Feed - Fishery,Animal Products,Biogenic,Outflow,no,,
Biomass inflow,Food and feed,15002361.8,Food - Live animals and animal products,Animal Products,Biogenic,Outflow,yes,regulation,IED
Biomass inflow,Food and feed,42010194,Food - Crops,Crops,Biogenic,Outflow,no,,
Biomass inflow,Food and feed,7207960,Food - Products mainly from biomass,Products from biomass,Biogenic,Outflow,no,,
Biomass inflow,Food and feed,1327560,Food - Fishery,Animal Products,Biogenic,Outflow,no,,
Biomass inflow,Waste,129476.6,Losses - Live animals and animal products,Animal Products,Biogenic,Outflow,yes,regulation,Waste Framework
Biomass inflow,Waste,5258288,Losses - Crops,Crops,Biogenic,Outflow,yes,regulation,Waste Framework
Biomass inflow,Waste,19930,Losses - Products mainly from biomass,Products from biomass,Biogenic,Outflow,yes,regulation,Waste Framework
Biomass inflow,Other,510008,Other Uses - Live animals and animal products,Animal Products,Biogenic,Outflow,no,,
Biomass inflow,Other,10925714,Other Uses - Crops,Crops,Biogenic,Outflow,no,,
Biomass inflow,Other,6991310,Other Uses - Products mainly from biomass,Products from biomass,Biogenic,Outflow,no,,
Biomass inflow,Other,2860,Other Uses - Fishery,Animal Products,Biogenic,Outflow,no,,
Biomass inflow,Carbon Emissions,153079940,Aggregated biomass,Carbon Emissions (Biogenic),Biogenic,Outflow,yes,cap & regulation & subsidy,"TEN-E, CAP, IED, RED, ESR"
Biomass inflow,Wood,88417465,Industrial wood,Wood,Biogenic,Outflow,yes,regulation,EU-Deforestation
Biomass inflow,Wood,31366265,Fuel wood,Wood,Biogenic,Outflow,yes,cap & regulation,RED
Biomass inflow,Waste,29349500,Aggregated biomass,Mixed Biogenic,Biogenic,Outflow,yes,cap & regulation,"Waste Framework, Landfill Regulation"
Biomass inflow,Carbon Emissions,4807598.055,Enteric fermentation,Carbon Emissions (Biogenic),Biogenic,Outflow,,,
Biomass inflow,Unknown Carbon (Balancing Flow),17660573.11,Aggregated biomass,Mixed Biogenic,Biogenic,Outflow,no,,
Production,Mineral inflow,21080157.43,Limestone used for manufacturing,Limestone (Manufacturing),Mineral,Inflow,no,,
Production,Mineral inflow,731907.1852,Chalk,Mixed Mineral,Mineral,Inflow,no,,
Production,Mineral inflow,1942983.879,Dolomite,Mixed Mineral,Mineral,Inflow,no,,
Production,Mineral inflow,20364246.67,Crushed limestone & dolomite,Limestone (Aggregates),Mineral,Inflow,no,,
Imports,Mineral inflow,224821.2887,Mixed,Mixed Mineral,Mineral,Inflow,yes,cap & regulation & tax,"CBAM, IED"
Mineral inflow,Cement production,16523392.5,Limestone used for manufacturing,Limestone (Manufacturing),Mineral,Internal,yes,cap & regulation,"Construction Products Regulation, ETS, IED"
Mineral inflow,Lime production,3854263.5,Limestone used for manufacturing,Limestone (Manufacturing),Mineral,Internal,yes,cap & regulation,"Construction Products Regulation, ETS, IED"
Mineral inflow,Liming,1403576.1,Limestone used for manufacturing,Limestone (Manufacturing),Mineral,Internal,yes,cap & regulation,"Construction Products Regulation, ETS, IED"
Mineral inflow,Aggregates,20364246.67,Crushed limestone & dolomite,Limestone (Aggregates),Mineral,Outflow,no,,
Mineral inflow,Exports,271952.9603,Mixed,Mixed Mineral,Mineral,Outflow,no,,
Cement production,Carbon Emissions,16523392.5,Emissions,Carbon Emissions,Mineral,Outflow,yes,cap & regulation,"Construction Products Regulation, ETS, IED"
Lime production,Carbon Emissions,3854263.5,Emissions,Carbon Emissions,Mineral,Outflow,yes,cap & regulation,"Construction Products Regulation, ETS, IED"
Liming,Carbon Emissions,1403576.1,Emissions,Carbon Emissions,Mineral,Outflow,yes,cap & regulation,"Construction Products Regulation, ETS, IED"
Mineral inflow,Unknown Carbon (Balancing Flow),1926684.725,Mixed,Mixed Mineral,Mineral,Outflow,no,,
Imports,Product input,17582565.66,Organic Chemicals,Mixed Material,Mixed,Inflow,yes,regulation & tax,"Ecodesign, CBAM"
Imports,Product input,184651.042,Pharmaceutical Products,Mixed Material,Mixed,Inflow,yes,regulation & tax,"Ecodesign, CBAM"
Imports,Product input,10200759.18,Chemical products,Mixed Material,Mixed,Inflow,yes,regulation & tax,"Ecodesign, CBAM"
Imports,Product input,15050898.14,Plastic materials & products,Mixed Material,Mixed,Inflow,yes,regulation & tax,"Ecodesign, CBAM"
Imports,Product input,4830723.642,Rubber materials & products,Mixed Material,Mixed,Inflow,yes,regulation & tax,"Ecodesign, CBAM"
Imports,Product input,4797162.737,Textiles,Mixed Material,Mixed,Inflow,yes,regulation & tax,"Ecodesign, CBAM"
Imports,Product input,1245251.99,Toys & sporting goods,Mixed Material,Mixed,Inflow,yes,regulation & tax,"Ecodesign, CBAM"
Product input,Exports,7478607.49,Organic Chemicals,Mixed Material,Mixed,Outflow,no,,
Product input,Exports,546100.896,Pharmaceutical Products,Mixed Material,Mixed,Outflow,no,,
Product input,Exports,11469270.3,Chemical products,Mixed Material,Mixed,Outflow,no,,
Product input,Exports,14636220.5,Plastic materials & products,Mixed Material,Mixed,Outflow,yes,regulation,"Packaging, Ecodesign "
Product input,Exports,3930604.6,Rubber materials & products,Mixed Material,Mixed,Outflow,yes,regulation,EU-Deforestation
Product input,Exports,1842603.15,Textiles,Mixed Material,Mixed,Outflow,no,,
Product input,Exports,370576.178,Toys & sporting goods,Mixed Material,Mixed,Outflow,no,,
Product input,Material stock,13618029.24,Mixed Material,Mixed Material,Mixed,Stock,yes,regulation,"Ecodesign, IAA"
