Flow,Added info,Amount in dataset,Unit in dataset,Amount_tonnes,Carrier,Type,Source
Sub-bituminous coal,Imports,769.25,thousand_tonnes,769248.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Sub-bituminous coal,Exports,3.10,thousand_tonnes,3100.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Sub-bituminous coal,Change in stock,-133.08,thousand_tonnes,-133079.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coke oven coke,Indigenous production,27847.74,thousand_tonnes,27847738.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coke oven coke,Imports,7005.16,thousand_tonnes,7005156.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coke oven coke,Exports,9004.76,thousand_tonnes,9004755.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coke oven coke,Change in stock,2228.13,thousand_tonnes,2228127.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Patent fuel,Imports,87.79,thousand_tonnes,87792.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Patent fuel,Exports,35.05,thousand_tonnes,35049.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Patent fuel,Change in stock,11.81,thousand_tonnes,11806.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal briquettes,Indigenous production,4960.42,thousand_tonnes,4960417.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal briquettes,Imports,424.44,thousand_tonnes,424437.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal briquettes,Exports,1138.14,thousand_tonnes,1138137.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal briquettes,Change in stock,40.37,thousand_tonnes,40374.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coal tar,Indigenous production,873.74,thousand_tonnes,873739.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coal tar,Imports,416.00,thousand_tonnes,416002.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coal tar,Exports,528.04,thousand_tonnes,528038.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coal tar,Change in stock,-2.71,thousand_tonnes,-2705.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat,Indigenous production,1910.66,thousand_tonnes,1910664.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat,Imports,79.73,thousand_tonnes,79725.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat,Exports,28.65,thousand_tonnes,28649.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat,Change in stock,1568.56,thousand_tonnes,1568558.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat products,Indigenous production,36.89,thousand_tonnes,36885.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat products,Imports,36.00,thousand_tonnes,36000.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat products,Exports,5.57,thousand_tonnes,5565.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat products,Change in stock,1.29,thousand_tonnes,1290.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Oil shale and oil sands,Indigenous production,13398.37,thousand_tonnes,13398371.00,Crude oil,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Oil shale and oil sands,Change in stock,-1367.24,thousand_tonnes,-1367238.00,Crude oil,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Natural gas,Indigenous production,1361966.08,Terajoule (gross calorific value - GCV),58836.93,Gas,Inflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_GAS__custom_11896525/default/table?lang=en
Natural gas,Imports,13916863.71,Terajoule (gross calorific value - GCV),601208.51,Gas,Inflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Natural gas,Exports,2491951.72,Terajoule (gross calorific value - GCV),107652.31,Gas,Outflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Natural gas,Change in stock,-91658.46,Terajoule (gross calorific value - GCV),-3959.65,Gas,Stock,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Natural gas,International maritime bunkers,20214.96,Terajoule (gross calorific value - GCV),873.29,Gas,Outflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
