Source,Target,Value_tC,Carrier_detail,Carrier,Flow,flow_type
Biomass inflow,Wood,31366265,Fuel wood,Wood,Biogenic,Outflow
Biomass inflow,Waste,29349500,Aggregated biomass,Mixed Biogenic,Biogenic,Outflow
Biomass inflow,Unknown Carbon (Balancing Flow),22468171.16,Aggregated biomass,Mixed Biogenic,Biogenic,Outflow
Production,Total mineral inflow,21080157.43,Limestone used for manufacturing,Limestone (Manufacturing),Mineral,Inflow
Production,Total mineral inflow,731907.1852,Chalk,Mixed Mineral,Mineral,Inflow
Production,Total mineral inflow,1942983.879,Dolomite,Mixed Mineral,Mineral,Inflow
Production,Total mineral inflow,20364246.67,Crushed limestone & dolomite,Limestone (Aggregates),Mineral,Inflow
Imports,Total mineral inflow,224821.2887,Mixed,Mixed Mineral,Mineral,Inflow
Total mineral inflow,Cement production,16523392.5,Limestone used for manufacturing,Limestone (Manufacturing),Mineral,Internal
Total mineral inflow,Lime production,3854263.5,Limestone used for manufacturing,Limestone (Manufacturing),Mineral,Internal
Total mineral inflow,Liming,1403576.1,Limestone used for manufacturing,Limestone (Manufacturing),Mineral,Internal
Total mineral inflow,Aggregates,20364246.67,Crushed limestone & dolomite,Limestone (Aggregates),Mineral,Outflow
Total mineral inflow,Exports,271952.9603,Mixed,Mixed Mineral,Mineral,Outflow
Cement production,Carbon Emissions,16523392.5,Emissions,Carbon Emissions,Mineral,Outflow
Lime production,Carbon Emissions,3854263.5,Emissions,Carbon Emissions,Mineral,Outflow
Liming,Carbon Emissions,1403576.1,Emissions,Carbon Emissions,Mineral,Outflow
Total mineral inflow,Unknown Carbon (Balancing Flow),1926684.725,Mixed,Mixed Mineral,Mineral,Outflow
Imports,Product input,17582565.66,Organic Chemicals,Mixed Material,Mixed,Inflow
Imports,Product input,184651.042,Pharmaceutical Products,Mixed Material,Mixed,Inflow
Imports,Product input,10200759.18,Chemical products,Mixed Material,Mixed,Inflow
Imports,Product input,15050898.14,Plastic materials & products,Mixed Material,Mixed,Inflow
Imports,Product input,4830723.642,Rubber materials & products,Mixed Material,Mixed,Inflow
Imports,Product input,4797162.737,Textiles,Mixed Material,Mixed,Inflow
Imports,Product input,1245251.99,Toys & sporting goods,Mixed Material,Mixed,Inflow
Product input,Exports,7478607.49,Organic Chemicals,Mixed Material,Mixed,Outflow
Product input,Exports,546100.896,Pharmaceutical Products,Mixed Material,Mixed,Outflow
Product input,Exports,11469270.3,Chemical products,Mixed Material,Mixed,Outflow
Product input,Exports,14636220.5,Plastic materials & products,Mixed Material,Mixed,Outflow
Product input,Exports,3930604.6,Rubber materials & products,Mixed Material,Mixed,Outflow
Product input,Exports,1842603.15,Textiles,Mixed Material,Mixed,Outflow
Product input,Exports,370576.178,Toys & sporting goods,Mixed Material,Mixed,Outflow
Product input,Material stock,13618029.24,Mixed Material,Mixed Material,Mixed,Stock
