Geopolitical Entity,Year,Sector,Level_Sankey,Lifecycle Step,Source,Target,Flow,Unit,Value (THOUSAND TONNES),Value C (TONNES),,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Uses,Biomass supply,Feed & food products,Agriculture biomass,1000 T of dry matter (gross trade),613689.5525385889,294570985.2,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Uses,Biomass supply,Feed & food products,Agriculture biomass,1000 T of dry matter (net trade),550147.5301463922,264070814.5,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Uses,Biomass supply,Fibres and others,Agriculture biomass,1000 T of dry matter (gross trade),8530.671935582503,4265335.968,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Uses,Biomass supply,Fibres and others,Agriculture biomass,1000 T of dry matter (net trade),1181.81,590903.8505,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Uses,Fishmeal & oil for feed,Feed & food products,Agriculture biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Uses,Fishmeal & oil for feed,Feed & food products,Agriculture biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Waste,Feed & bedding,Food waste,Agriculture biomass,1000 T of dry matter (gross trade),2853.109394353464,1369492.509,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Waste,Feed & bedding,Food waste,Agriculture biomass,1000 T of dry matter (net trade),2853.109394353464,1369492.509,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Waste,Feed & food products,Food waste,Agriculture biomass,1000 T of dry matter (gross trade),2594.7378258391623,1245474.156,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Waste,Feed & food products,Food waste,Agriculture biomass,1000 T of dry matter (net trade),2594.7378258391623,1245474.156,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Waste,Plant-based food supply,Food waste,Agriculture biomass,1000 T of dry matter (gross trade),2609.4745227939375,1252547.771,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Waste,Plant-based food supply,Food waste,Agriculture biomass,1000 T of dry matter (net trade),2609.4745227939375,1252547.771,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Waste_CO_AN,Animal-based food,Food waste,Agriculture biomass,1000 T of dry matter (gross trade),4056.3540135743065,1947049.927,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Waste_CO_AN,Animal-based food,Food waste,Agriculture biomass,1000 T of dry matter (net trade),4056.3540135743065,1947049.927,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Waste_CO_VE,Plant-based food,Food waste,Agriculture biomass,1000 T of dry matter (gross trade),16106.093689145115,7730924.971,,,,,,
European Union (27 countries),2022,Agriculture,L2 - Biomass by type,Waste_CO_VE,Plant-based food,Food waste,Agriculture biomass,1000 T of dry matter (net trade),16106.093689145115,7730924.971,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Exports,Biomass supply,Exports,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Exports,Biomass supply,Exports,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Exports,Fishmeal & oil,Exports,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Exports,Fishmeal & oil,Exports,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Imports,Imports,Biomass supply,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Imports,Imports,Biomass supply,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Inner uses,Fishmeal & oil,Aquaculture,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Inner uses,Fishmeal & oil,Aquaculture,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Inner uses,Fishmeal & oil,Fishmeal & oil for animal husbandry,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Inner uses,Fishmeal & oil,Fishmeal & oil for animal husbandry,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Losses/Unknown,Unknown origin,Biomass supply,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Losses/Unknown,Unknown origin,Biomass supply,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Production,Aquaculture,Biomass supply,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Production,Aquaculture,Biomass supply,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Production,Capture fisheries,Biomass supply,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Production,Capture fisheries,Biomass supply,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Uses,Biomass supply,Aquatic-based food,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Uses,Biomass supply,Aquatic-based food,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Uses,Biomass supply,Fishmeal & oil,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Uses,Biomass supply,Fishmeal & oil,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Waste,Aquatic-based food,Waste,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Waste,Aquatic-based food,Waste,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Waste,Biomass supply,Waste,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Waste,Biomass supply,Waste,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Waste|||Production,Aquaculture,Waste,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Waste|||Production,Aquaculture,Waste,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Waste|||Production,Capture fisheries,Waste,Fisheries biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Fisheries,L2 - Biomass by type,Waste|||Production,Capture fisheries,Waste,Fisheries biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Exports,By-products,By-products exports,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Exports,By-products,By-products exports,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Exports,Energy (prev. node),Wood pellets exports,Forestry biomass,1000 T of dry matter (gross trade),0.00,0,,,,,,
European Union (27 countries),2022,Forestry,L2 - Biomass by type,Exports,Energy (prev. node),Wood pellets exports,Forestry biomass,1000 T of dry matter (net trade),0.00,0,,,,,,
