Flow,Added info,Amount in dataset,Unit in dataset,Amount_tonnes,Carrier,Type,Source
Brown coal,Indigenous production,224909.41,thousand_tonnes,224909414.00,Brown coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal,Imports,1574.81,thousand_tonnes,1574814.00,Brown coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal,Exports,2719.97,thousand_tonnes,2719968.00,Brown coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal,Change in stock,-2516.09,thousand_tonnes,-2516088.00,Brown coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Sub-bituminous coal,Imports,769.25,thousand_tonnes,769248.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Sub-bituminous coal,Exports,3.10,thousand_tonnes,3100.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Sub-bituminous coal,Change in stock,-133.08,thousand_tonnes,-133079.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coke oven coke,Indigenous production,28395.36,thousand_tonnes,28395355.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coke oven coke,Imports,7006.24,thousand_tonnes,7006239.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coke oven coke,Exports,9004.75,thousand_tonnes,9004751.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coke oven coke,Change in stock,2177.62,thousand_tonnes,2177615.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Patent fuel,Imports,87.79,thousand_tonnes,87792.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Patent fuel,Exports,35.05,thousand_tonnes,35049.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Patent fuel,Change in stock,11.81,thousand_tonnes,11806.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal briquettes,Indigenous production,4960.42,thousand_tonnes,4960417.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal briquettes,Imports,425.22,thousand_tonnes,425222.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal briquettes,Exports,1138.14,thousand_tonnes,1138137.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal briquettes,Change in stock,47.38,thousand_tonnes,47384.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coal tar,Indigenous production,873.74,thousand_tonnes,873739.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coal tar,Imports,416.00,thousand_tonnes,416002.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coal tar,Exports,528.04,thousand_tonnes,528038.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coal tar,Change in stock,-2.71,thousand_tonnes,-2705.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat,Indigenous production,2377.66,thousand_tonnes,2377664.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat,Imports,79.73,thousand_tonnes,79725.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat,Exports,28.65,thousand_tonnes,28649.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat,Change in stock,1105.56,thousand_tonnes,1105558.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat products,Indigenous production,36.89,thousand_tonnes,36885.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat products,Imports,36.00,thousand_tonnes,36000.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat products,Exports,5.57,thousand_tonnes,5565.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat products,Change in stock,1.29,thousand_tonnes,1290.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Oil shale and oil sands,Indigenous production,13398.37,thousand_tonnes,13398371.00,Crude oil,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Oil shale and oil sands,Change in stock,-1367.24,thousand_tonnes,-1367238.00,Crude oil,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Natural gas,Indigenous production,1362030.88,Terajoule (gross calorific value - GCV),1225827.79,Gas,Inflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_GAS__custom_11896525/default/table?lang=en
Natural gas,Imports,13914942.99,Terajoule (gross calorific value - GCV),12523448.69,Gas,Inflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Natural gas,Exports,2491960.38,Terajoule (gross calorific value - GCV),2242764.34,Gas,Outflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Natural gas,Change in stock,-92057.32,Terajoule (gross calorific value - GCV),-82851.59,Gas,Stock,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Natural gas,International maritime bunkers,28847.76,Terajoule (gross calorific value - GCV),25962.98,Gas,Outflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
