Flow,Added info,Unit in dataset,#CO2 in dataset,Amount_tonnes_CO2,#CH4 in dataset,Amount_tonnes_CH4,#CO in dataset,Amount_tonnes_CO,Sankey node flow name,Type,Source
,1.B.1.b. Fuel transformation,thousand_tonnes,2800.567234,2800567.234,2.299066469,2299.066469,24.63355272,24633.55272,Fossil Energy (direct),Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c461
,1.B.1.c. Other,thousand_tonnes,56.01137843,56011.37843,3.037320934,3037.320934,0.00111,1.11,Fossil Energy (direct),Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c462
1.B.2. Oil and natural gas and other emissions from energy production,1.B.2.a. Oil,thousand_tonnes,8941.218616,8941218.616,26.00820685,26008.20685,40.87325273,40873.25273,Energy production,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c463
,1.B.2.b. Natural gas,thousand_tonnes,747.6856377,747685.6377,402.6821495,402682.1495,0.07445764,74.45764,Energy production,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c464
,1.B.2.c. Venting and flaring,thousand_tonnes,2434.754527,2434754.527,93.34006691,93340.06691,3.309908714,3309.908714,Energy production,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c465
,1.B.2.d. Other,thousand_tonnes,1789.413831,1789413.831,19.41739296,19417.39296,0,0,Energy production,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c466
1.D.1. International bunkers,1.D.1.a. Aviation,thousand_tonnes,121742.8593,121742859.3,0.777107442,777.1074419,142.5455112,142545.5112,Bunkers,Stock,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c467
,1.D.1.b.Navigation,thousand_tonnes,120756.2735,120756273.5,14.44202477,14442.02477,111.3238967,111323.8967,Bunkers,Stock,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c468
1.D.2. Multilateral operations,,thousand_tonnes,1.0632009,1063.2009,,0,0.0070512,7.0512,Other,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c469
1.D.3. CO2 emissions from biomass,,thousand_tonnes,566962.7407,566962740.7,,0,0,0,Biomass,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c470
1.D.4. CO2 captured,,thousand_tonnes,-51.85688227,-51856.88227,,0,0,0,CCS,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c471
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
