Source,Target,Value_tC,Carrier_detail,Carrier,Flow,flow_type
Production,Mineral inflow,21080157.43,Limestone used for manufacturing,Limestone (Manufacturing),Mineral,Inflow
Production,Mineral inflow,731907.1852,Chalk,Chalk,Mineral,Inflow
Production,Mineral inflow,1942983.879,Dolomite,Dolomite,Mineral,Inflow
Production,Mineral inflow,20364246.67,Crushed limestone & dolomite,Limestone (Aggregates),Mineral,Inflow
Import,Mineral inflow,224821.2887,Mixed,Mixed Mineral,Mineral,Inflow
Mineral inflow,Cement production,16523392.5,Limestone used for manufacturing,Limestone (Manufacturing),Mineral,Internal
Mineral inflow,Lime production,3854263.5,Limestone used for manufacturing,Limestone (Manufacturing),Mineral,Internal
Mineral inflow,Liming,1403576.1,Limestone used for manufacturing,Limestone (Manufacturing),Mineral,Internal
Mineral inflow,Aggregates,20364246.67,Crushed limestone & dolomite,Limestone (Aggregates),Mineral,Outflow
Mineral inflow,Exports,271952.9603,Mixed,Mixed Mineral,Mineral,Outflow
Cement production,Emissions,16523392.5,Emissions,Carbon Emissions,Mineral,Outflow
Lime production,Emissions,3854263.5,Emissions,Carbon Emissions,Mineral,Outflow
Liming,Emissions,1403576.1,Emissions,Carbon Emissions,Mineral,Outflow
Mineral inflow,Unknown carbon,1926684.725,Mixed,Mixed Mineral,Mineral,Outflow
