Flow,Added info,Amount in dataset,Unit in dataset,Amount_tonnes,Carrier,Type,Source
Brown coal,Change in stock,"-2,531.659",thousand_tonnes,"-2,531,659.",Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Sub-bituminous coal,Imports,769.248,thousand_tonnes,"769,248.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Sub-bituminous coal,Exports,3.100,thousand_tonnes,"3,100.",Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Sub-bituminous coal,Change in stock,-133.079,thousand_tonnes,"-133,079.",Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coke oven coke,Indigenous production,"27,847.738",thousand_tonnes,"27,847,738.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coke oven coke,Imports,"7,005.156",thousand_tonnes,"7,005,156.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coke oven coke,Exports,"9,004.755",thousand_tonnes,"9,004,755.",Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coke oven coke,Change in stock,"2,228.127",thousand_tonnes,"2,228,127.",Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Patent fuel,Imports,87.792,thousand_tonnes,"87,792.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Patent fuel,Exports,35.049,thousand_tonnes,"35,049.",Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Patent fuel,Change in stock,11.806,thousand_tonnes,"11,806.",Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal briquettes,Indigenous production,"4,960.417",thousand_tonnes,"4,960,417.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal briquettes,Imports,424.437,thousand_tonnes,"424,437.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal briquettes,Exports,"1,138.137",thousand_tonnes,"1,138,137.",Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal briquettes,Change in stock,40.374,thousand_tonnes,"40,374.",Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coal tar,Indigenous production,873.739,thousand_tonnes,"873,739.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coal tar,Imports,416.002,thousand_tonnes,"416,002.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coal tar,Exports,528.038,thousand_tonnes,"528,038.",Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coal tar,Change in stock,-2.705,thousand_tonnes,"-2,705.",Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat,Indigenous production,"1,910.664",thousand_tonnes,"1,910,664.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat,Imports,79.725,thousand_tonnes,"79,725.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat,Exports,28.649,thousand_tonnes,"28,649.",Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat,Change in stock,"1,568.558",thousand_tonnes,"1,568,558.",Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat products,Indigenous production,36.885,thousand_tonnes,"36,885.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat products,Imports,36.000,thousand_tonnes,"36,000.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat products,Exports,5.565,thousand_tonnes,"5,565.",Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Peat products,Change in stock,1.290,thousand_tonnes,"1,290.",Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Oil shale and oil sands,Indigenous production,"13,398.371",thousand_tonnes,"13,398,371.",Crude oil,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Oil shale and oil sands,Change in stock,"-1,367.238",thousand_tonnes,"-1,367,238.",Crude oil,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Natural gas,Indigenous production,"1,361,966.077",Terajoule (gross calorific value - GCV),,Gas,Inflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_GAS__custom_11896525/default/table?lang=en
Natural gas,Imports,"13,916,863.707",Terajoule (gross calorific value - GCV),,Gas,Inflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Natural gas,Exports,"2,491,951.719",Terajoule (gross calorific value - GCV),,Gas,Outflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Natural gas,Change in stock,"-91,658.455",Terajoule (gross calorific value - GCV),,Gas,Stock,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Natural gas,International maritime bunkers,"20,214.958",Terajoule (gross calorific value - GCV),,Gas,Outflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
